Treatment,Sample,Number,Zone,Morphospecies,PlantSpecies ,ContactWeight,preWeight,postWeight,leaveDryMass,H2O_weight,NumberLeaves,TotalLeafArea,pixelDens,MeanLaminaArea
Pine,Pine007,7,Plateau,GreenShrub,Gaultheria pumila,,1.14,0.92,0.15,0.22,24,261284,310,0.113286507
Pine,Pine007,7,Plateau,GreenShrub,Gaultheria pumila,,,,,,,,,
Pine,Pine007,7,Plateau,YellowFlower,Senecio agyreus,,0.93,0.81,0.07,0.12,14,1942,265,0.001975284
Pine,Pine007,7,Plateau,TallRed,Euphrasia meiantha,,0.53,0.51,0.01,0.02,19,477456,337,0.221268684
Pine,Pine007,7,Plateau,Grass,Festuca sp,,2.39,2.16,0.23,0.23,9,696299,239,1.354432793
Pine,Pine007,7,Plateau,Rosette,Viola sp,,,,,,,,,
Pine,Pine007,7,Plateau,Arugula,Hypochaeris sp,,,,,,,,,
Pine,Pine007,7,Plateau,fatGreen,Perezia bellidifolia,,1.62,1.19,0.27,0.43,5,2219921,303,4.835955081
Pine,Pine009,9,Plateau,FuzzyLeaf,Erigeron sp,,1.15,1.09,0.01,0.06,11,75378,118,0.492139145
Pine,Pine009,9,Plateau,GreenShrub,Gaultheria pumila,,1.11,0.94,0.18,0.17,39,115240,118,0.212214292
Pine,Pine009,9,Plateau,RedAloe,Poa sp,1,1.55,1.25,0.25,0.3,4,280662,118,5.039176961
Pine,Pine009,9,Plateau,SmallShrub,Empetrum rubrum,,1.08,1.02,0.01,0.06,63,47136,118,0.053733875
Pine,Pine009,9,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,1.13,1.02,0.08,0.11,10,80927,118,0.581205113
Pine,Pine009,9,Plateau,Grass,Festuca sp,1.03,1.33,1.18,0.15,0.15,4,101730,118,1.826522551
Pine,Pine010,10,Plateau,Cushion,,1.03,1,0.02,0.03,,,,,
Pine,Pine010,10,Plateau,GreenShrub,Gaultheria pumila,,1.17,1,0.11,0.17,65,136785,118,0.151133626
Pine,Pine010,10,Plateau,SmallShrub,Empetrum rubrum,,0.74,0.68,0.06,0.06,59,41190,118,0.050139011
Pine,Pine010,10,Plateau,TallRed,Euphrasia meiantha,,1.13,0.88,0.04,0.25,25,110471,118,0.317354209
Pine,Pine010,10,Plateau,Grass,Festuca sp,1.03,1.38,1.17,0.14,0.21,3,125389,118,3.001747582
Pine,Pine010,10,Plateau,RedAloe,Poa sp,0.97,1.22,1.04,0.07,0.18,3,189149,118,4.52812889
Pine,Pine010,10,Plateau,fatGreen,,,3.8,1.98,0.33,1.82,,,,
Pine,Pine011,11,Plateau,Grass,Festuca sp,0.98,1.46,1.18,0.2,0.28,5,247772,118,3.558919851
Pine,Pine011,11,Plateau,GreenShrub,Gaultheria pumila,,1.14,0.92,0.15,0.22,51,115455,118,0.162584281
Pine,Pine011,11,Plateau,Mistery,Belloa chilensis,,1.38,1.25,0.03,0.13,21,147431,118,0.504203089
Pine,Pine011,11,Plateau,LeafyCushion,Azorella sp,,1.37,1,0.13,0.37,27,141800,118,0.377179823
Pine,Pine011,11,Plateau,Rosette,Viola sp,,1.17,1.07,0.05,0.1,12,30449,118,0.182233314
Pine,Pine011,11,Plateau,RedAloe,Poa sp,0.93,1.33,1.05,0.12,0.28,4,175464,118,3.15038782
Pine,Pine012,12,Plateau,Cilantro,Sanicula graveolens,,1.04,0.91,0.05,0.13,5,166013,118,2.384559035
Pine,Pine012,12,Plateau,fatGreen,Perezia bellidifolia,,1.63,1.12,0.14,0.51,5,261853,118,3.76117495
Pine,Pine012,12,Plateau,GreenShrub,Gaultheria pumila,,1.26,1.13,0.1,0.13,50,134407,118,0.193058029
Pine,Pine012,12,Plateau,SmallShrub,Empetrum rubrum,,0.78,0.67,0.01,0.11,65,56266,118,0.062168254
Pine,Pine012,12,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,,,,,11,96264,118,0.628502781
Pine,Pine012,12,Plateau,TallSpike,,,0.43,0.42,0.01,0.01,24,11471,118,0.034326223
Pine,Pine012,12,Plateau,YellowFlower,Senecio agyreus,,1.22,1.02,0.14,0.2,23,161484,118,0.504240411
Pine,Pine012,12,Plateau,SpikeyCushion,,,1.1,0.93,0.14,0.17,,,,
Pine,Pine012,12,Plateau,Grass,Festuca sp,1.09,1.44,1.29,0.2,0.15,5,146554,118,2.105056018
Pine,PineL2,2,Treeline,Cilantro,Sanicula graveolens,,,,,,,,,
Pine,PineL2,2,Treeline,Cilantro,Sanicula graveolens,,,,,,,,,
Pine,PineL2,2,Treeline,fatGreen,Perezia bellidifolia,,,,,,,,,
Pine,PineL2,2,Treeline,GreenShrub,Gaultheria pumila,,,,,,,,,
Pine,PineL2,2,Treeline,LongLeaf,,,,,,,,,,
Pine,PineL2,2,Treeline,SpikeyShrub,,,,,,,,,,
Pine,PineL2,2,Treeline,Grass,Festuca sp,,,,,,,,,
Pine,Pine013,13,Plateau,Dandelion,Hypochaeris sp,,,,,,,,,
Pine,Pine013,13,Plateau,FuzzyLeaf,Erigeron sp,,1.07,1,0.02,0.07,7,43291,118,0.444156031
Pine,Pine013,13,Plateau,Grass,Festuca sp,1.02,1.43,1.16,0.14,0.27,5,401851,118,5.772062626
Pine,Pine013,13,Plateau,GreenShrub,Gaultheria pumila,,1.24,1.11,0.1,0.13,50,118761,118,0.170584602
Pine,Pine013,13,Plateau,GreenShrub,Gaultheria pumila,,,,,,64,102811,118,0.115370718
Pine,Pine013,13,Plateau,OtherGreenShrub,Baccharis magellanica,,1.17,0.96,0.07,0.21,34,109964,118,0.232277743
Pine,Pine013,13,Plateau,LeafyCushion,,,1.5,0.94,0.15,0.56,,,,
Pine,Pine014,14,Plateau,RedLeaf,,,1.1,0.98,0.03,0.12,,,,
Pine,Pine014,14,Plateau,Arugula,Hypochaeris sp,,1.5,1.06,0.12,0.44,4,167771,118,3.012262999
Pine,Pine014,14,Plateau,GreenShrub,Gaultheria pumila,0.97,1.26,1.08,0.11,0.18,51,94460,118,0.133019022
Pine,Pine014,14,Plateau,LeafyCushion,Azorella sp,,1.41,1.05,0.12,0.36,25,180077,118,0.51731399
Pine,Pine014,14,Plateau,OtherGreenShrub,Baccharis magellanica,,1.37,1.13,0.1,0.24,33,117527,118,0.255775944
Pine,Pine014,14,Plateau,Rosette,Viola sp,,1.77,1.48,0.08,0.29,30,100123,118,0.239689266
Pine,Pine014,14,Plateau,spikeyRose,Nassauvia revoluta,,1.01,0.87,0.04,0.14,31,124,118,0.000287274
Pine,Pine014,14,Plateau,RedAloe,Poa sp,0.97,0.93,1.14,0.15,-0.21,4,171214,118,3.074080724
Pine,Pine014,14,Plateau,Grass,Festuca sp,1.01,1.3,1.14,0.13,0.16,6,79588,118,0.952647707
Pine,Pine014,14,Plateau,Dandelion,Hypochaeris sp,0.93,1,0.97,0.04,0.03,4,76346,118,1.370762712
Pine,Pine015,15,Plateau,Cushion,,,0.86,0.79,0.03,0.07,,,,
Pine,Pine015,15,Plateau,Dandelion,Hypochaeris sp,,1.91,1.46,0.06,0.45,5,268152,118,3.851651824
Pine,Pine015,15,Plateau,FatTall,,,,,,,8,186323,118,1.672678469
Pine,Pine015,15,Plateau,Grass,Festuca sp,1,1.38,1.15,0.15,0.23,7,167918,118,1.72280133
Pine,Pine015,15,Plateau,TallRed,Euphrasia meiantha,,0.95,0.72,0.05,0.23,24,85689,118,0.256418773
Pine,Pine015,15,Plateau,RedAloe,Poa sp,0.97,1.18,1.09,0.12,0.09,,,,
Pine,Pine015,15,Plateau,SpikeyFat,,,1.65,1.03,0.18,0.62,,,,
Pine,Pine015,15,Plateau,YellowFlower,Senecio agyreus,,2.82,1.95,0.23,0.87,25,287579,118,0.826139041
Pine,Pine016,16,Plateau,Arugula,Hypochaeris sp,,1.26,0.82,0.1,0.44,3,182193,118,4.36160586
Pine,Pine016,16,Plateau,FatTall,,,1.5,0.97,0.1,0.53,13,195070,118,1.077663359
Pine,Pine016,16,Plateau,GreenShrub,Gaultheria pumila,,,,,,71,132532,118,0.134059745
Pine,Pine016,16,Plateau,Rosette,Viola sp,,,,,,11,39248,118,0.256248205
Pine,Pine016,16,Plateau,YellowFlower,Senecio agyreus,,,,,,21,236351,118,0.808302896
Pine,Pine016,16,Plateau,RedAloe,Poa sp,1.03,1.17,1.1,0.07,0.07,4,134749,118,2.419365843
Pine,Pine016,16,Plateau,Grass,Festuca sp,0.95,1.27,1.1,0.15,0.17,6,73,118,0.000873791
Pine,Pine017,17,Plateau,Arugula,Hypochaeris sp,,1.57,1.11,0.11,0.46,5,234051,118,3.361835679
Pine,Pine017,17,Plateau,Clover,Oxalis adenophylla,,1.02,,0.03,,18,105839,118,0.422288455
Pine,Pine017,17,Plateau,Dandelion,Hypochaeris sp,,1.23,0.84,0.08,0.39,4,611526,118,10.97971129
Pine,Pine017,17,Plateau,fatGreen,Perezia bellidifolia,,3.1,2.34,0.42,0.76,8,564315,118,5.066028081
Pine,Pine017,17,Plateau,GreenShrub,Gaultheria pumila,,,,,,43,108185,118,0.180690192
Pine,Pine017,17,Plateau,OtherGreenShrub,,,1.26,1.14,0.12,0.12,,,,
Pine,Pine017,17,Plateau,Grass,Festuca sp,0.99,1.29,1.17,0.18,0.12,4,129331,118,2.322087762
Pine,Pine018,18,Plateau,Dandelion,Hypochaeris sp,,2.89,1.88,0.14,1.01,6,521753,118,6.245248013
Pine,Pine018,18,Plateau,Rosette,Viola sp,,0.84,0.66,0.06,0.18,18,55093,118,0.219816304
Pine,Pine018,18,Plateau,Grass,Festuca sp,0.93,1.57,1.13,0.2,0.44,4,121052,118,2.17344154
Pine,Pine018,18,Plateau,RedAloe,Poa sp,0.97,1.28,1.08,0.11,0.2,2,181079,118,6.502405918
Pine,Pine019,19,Plateau,GreenShrub,Gaultheria pumila,,1.21,1.12,0.1,0.09,29,122379,118,0.303071353
Pine,Pine019,19,Plateau,GreenShrub,Gaultheria pumila,,1.26,1.1,0.12,0.16,45,102698,118,0.163902455
Pine,Pine019,19,Plateau,RedAloe,Poa sp,0.99,1.5,1.16,0.17,0.34,5,321853,118,4.622996265
Pine,Pine019,19,Plateau,SmallShrub,Empetrum rubrum,,1.1,1.04,0.05,0.06,66,3,118,3.26E-06
Pine,Pine019,19,Plateau,YellowFlower,Senecio agyreus,,1.23,1.03,0.05,0.2,11,110406,118,0.720835183
Pine,Pine019,19,Plateau,Grass,Festuca sp,0.97,1.33,1.14,0.17,0.19,4,180644,118,3.243392703
Pine,Pine020,20,Plateau,Cushion,Bolax gummifera,,0.9,0.82,0.02,0.08,24,44831,118,0.134153859
Pine,Pine020,20,Plateau,FuzzyLeaf,Erigeron sp,,0.5,0.47,0.01,0.03,6,17797,118,0.213025472
Pine,Pine020,20,Plateau,GreenShrub,Gaultheria pumila,,1.02,0.93,0.07,0.09,50,102890,118,0.147787992
Pine,Pine020,20,Plateau,GreenShrub,Gaultheria pumila,,1.1,0.98,0.08,0.12,,,,
Pine,Pine020,20,Plateau,MisteryCushion,,,0.6,0.59,0.01,0.01,NA,138735,118,NA
Pine,Pine020,20,Plateau,NewTallRed,Euphrasia meiantha?,,1.47,1.08,0.1,0.39,25,55870,118,0.160499856
Pine,Pine020,20,Plateau,OtherGreenShrub,Baccharis magellanica,,,,,,37,73210,118,0.142103465
Pine,Pine020,20,Plateau,SpikeyFat,,,1.49,1.28,0.05,0.21,NA,245358,118,NA
Pine,Pine020,20,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,1.09,0.98,0.04,0.11,7,60516,118,0.620880699
Pine,Pine020,20,Plateau,TallRed,Euphrasia meiantha,,0.93,0.81,0.06,0.12,20,45420,118,0.163099684
Pine,Pine020,20,Plateau,GreenLily,Chloraea magellanica,,1.53,1.1,0.01,0.43,NA,179072,118,NA
Pine,Pine020,20,Plateau,RedAloe,Poa sp,0.97,1.38,1.11,0.14,0.27,4,230450,118,4.137640046
Pine,Pine020,20,Plateau,Grass,Festuca sp,0.92,1.18,1.02,0.1,0.16,5,90959,118,1.306506751
Pine,PineL2,2,Treeline,Grass,Festuca sp,,,,,,,,,
Pine,PineL3,3,Treeline,Bean,,,,,,,,,,
Pine,PineL3,3,Treeline,Dandelion,Hypochaeris sp,,,,,,,,,
Pine,PineL3,3,Treeline,FatLeaf,,,,,,,,,,
Pine,PineL3,3,Treeline,fatGreen,Perezia bellidifolia,,,,,,,,,
Pine,PineL3,3,Treeline,FuzzyLeaf,Erigeron sp,,,,,,,,,
Pine,PineL3,3,Treeline,GreenShrub,Gaultheria pumila,,,,,,,,,
Pine,PineL3,3,Treeline,LeafyCushion,Azorella sp,,,,,,,,,
Pine,PineL3,3,Treeline,OtherGreenShrub,,,,,,,,,,
Pine,PineL3,3,Treeline,TallDark,,,,,,,,,,
Pine,PineL3,3,Treeline,RedAloe,Poa sp,,,,,,,,,
Pine,PineL3,3,Treeline,Grass,Festuca sp,,,,,,,,,
Pine,PineL4,4,Treeline,Cilantro,Sanicula graveolens,,,,,,,,,
Pine,PineL4,4,Treeline,FatLeaf,,,,,,,,,,
Pine,PineL4,4,Treeline,GreenShrub,Gaultheria pumila,,,,,,,,,
Pine,PineL4,4,Treeline,RedLeaf,,,,,,,,,,
Pine,PineL4,4,Treeline,TallSpike,,,,,,,,,,
Pine,PineL4,4,Treeline,RedAloe,Poa sp,,,,,,,,,
Pine,PineL5,5,Treeline,Cilantro,Sanicula graveolens,,,,,,,,,
Pine,PineL5,5,Treeline,Cushion,Bolax gummifera,,,,,,,,,
Pine,PineL5,5,Treeline,GreenShrub,Gaultheria pumila,,,,,,,,,
Pine,PineL5,5,Treeline,OtherGreenShrub,,,,,,,,,,
Pine,PineL5,5,Treeline,OtherGreenShrub,,,,,,,,,,
Pine,PineL5,5,Treeline,RedLeaf,,,,,,,,,,
Pine,PineL5,5,Treeline,SpikeyCushion,Mulinum echinus,,,,,,,,,
Pine,PineL5,5,Treeline,SpikeyGreen,,,,,,,,,,
Pine,PineL5,5,Treeline,TallSpike,,,,,,,,,,
Pine,PineL5,5,Treeline,RedAloe,Poa sp,,,,,,,,,
Pine,PineL5,5,Treeline,Grass,Festuca sp,,,,,,,,,
Pine,PineL5,5,Treeline,RedAloe,Poa sp,,,,,,,,,
Pine,Pine008,8,Plateau,Grass,Festuca sp,,2.36,2.19,0.16,0.17,8,562780,217,1.493926395
Pine,Pine008,8,Plateau,RedAloe,Poa sp,,1.33,1.21,0.07,0.12,5,1210557,231,4.537235059
Pine,Pine008,8,Plateau,YellowFlower,Senecio agyreus,,1.17,1.06,0.11,0.11,15,341461,256,0.347352091
Pine,Pine008,8,Plateau,FuzzyLeaf,Erigeron sp,,0.65,0.61,0.01,0.04,5,148587,247,0.487098625
Pine,Pine008,8,Plateau,fatGreen,Perezia bellidifolia,,1.54,1.1,0.1,0.44,5,877923,220,3.627780992
Pine,Pine008,8,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,1.04,0.95,0.03,0.09,13,536229,241,0.710187232
Pine,Pine008,8,Plateau,Rosette,Viola sp,,0.9,0.8,0.04,0.1,14,222212,252,0.249941511
Pine,Pine008,8,Plateau,GreenShrub,Gaultheria pumila,,1.46,1.34,0.08,0.12,28,544080,298,0.218812537
Pine,Pine008,8,Plateau,SmallShrub,Empetrum rubrum,,,0.87,0.03,,42,216636,262,0.075141309
Sapling,Sap001,1,Plateau,Grass,Festuca sp,,,,,,11,33,206.24,7.05E-05
Sapling,Sap001,1,Plateau,Rosette,Viola sp,,0.04,0.01,0.01,0.03,10,130967,327,0.122480337
Sapling,Sap001,1,Plateau,Clover,Oxalis adenophylla,,0.09,0.01,0.01,0.08,10,302928,376.34,0.213884177
Sapling,Sap001,1,Plateau,LeafyCushion,Azorella sp,,0.3,0.08,0.08,0.22,20,679444,348.02,0.280488634
Sapling,Sap001,1,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,0.2,0.09,0.09,0.11,15,337302,306.08,0.240025704
Sapling,Sap001,1,Plateau,SpikeyCushion,Mulinum echinus,,0.13,0.06,0.06,0.07,20,278857,309,0.146027482
Sapling,Sap001,1,Plateau,newGreen,,,0.05,0.01,0.01,0.04,20,178718,290.21,0.106099553
Sapling,Sap002,2,Plateau,GreenShrub,Gaultheria pumila,,0.13,0.05,0.05,0.08,20,525917,400,0.164349063
Sapling,Sap002,2,Plateau,Grass,Festuca sp,,0.75,0.45,0.45,0.3,10,320572,200.64,0.796325363
Sapling,Sap002,2,Plateau,Rosette,Viola sp,,0.14,0.03,0.03,0.11,10,204625,284.03,0.253647312
Sapling,Sap002,2,Plateau,Rosette,Viola sp,,0.15,0.02,0.02,0.13,10,224953,284,0.278904235
Sapling,Sap002,2,Plateau,YellowFlower,Senecio agyreus,,0.26,0.1,0.1,0.16,17,873234,376,0.363333988
Sapling,Sap002,2,Plateau,Clover,Oxalis adenophylla,,0.06,0.01,0.01,0.05,10,241195,404,0.147776566
Sapling,Sap002,2,Plateau,LeafyCushion,Azorella sp,,0.24,0.07,0.07,0.17,20,527756,340,0.228268166
Sapling,Sap002,2,Plateau,Dandelion,Hypochaeris sp,,0.15,0.03,0.0225,0.0675,6,1326562,247,3.623951657
Sapling,Sap002,2,Plateau,Arugula,Hypochaeris sp,,0.142,0.054,0.054,0.088,5,1605089,282,4.03674111
Sapling,Sap002,2,Plateau,RedAloe,Poa sp,,0.3,0.28,0.28,0.02,10,1552732,240.35,2.687869941
Sapling,Sap002,2,Plateau,SpikeyCushion,Mulinum echinus,,0.05,0.01,0.01,0.04,20,74183,274,0.049405269
Sapling,Sap003,3,Plateau,GreenShrub,Gaultheria pumila,,0.09,0.01,0.01,0.08,20,269430,352.36,0.108503252
Sapling,Sap003,3,Plateau,Grass,Festuca sp,,0.22,0.14,0.14,0.08,9,2591982,192.17,7.79862956
Sapling,Sap003,3,Plateau,Rosette,Viola sp,,0.14,0.04,0.04,0.1,10,199180,328.05,0.185082622
Sapling,Sap003,3,Plateau,Clover,Oxalis adenophylla,,0.09,0.02,0.02,0.07,10,331478,347,0.275293375
Sapling,Sap003,3,Plateau,Dandelion,Hypochaeris sp,,0.44,0.12,0.12,0.32,5,763662,269,2.110700515
Sapling,Sap003,3,Plateau,LeafyCushion,,,,,,,20,690136,359,0.26774156
Sapling,Sap004,4,Plateau,GreenShrub,Gaultheria pumila,,1.59,1.42,0.28,0.17,20,236706,384.08,0.080229832
Sapling,Sap004,4,Plateau,RedAloe,Poa sp,,,,,,5,1693944,220,6.999768595
Sapling,Sap004,4,Plateau,GreenShrub,Gaultheria pumila,,,,,,15,485145,382,0.221642773
Sapling,Sap004,4,Plateau,GreenShrub,Gaultheria pumila,,,,,,15,367403,346,0.204596991
Sapling,Sap004,4,Plateau,Grass,Festuca sp,,,,,,5,937465,261,2.752352432
Sapling,Sap004,4,Plateau,Cushion,Bolax gummifera,,0.69,0.68,0.01,0.01,9,92451,266,0.145179679
Sapling,Sap005,5,Plateau,Clover,Oxalis adenophylla,,,,,,,,,
Sapling,Sap005,5,Plateau,RedAloe,Poa sp,,1.15,1.03,0.17,0.12,5,745287,266,2.10663972
Sapling,Sap005,5,Plateau,GreenShrub,Gaultheria pumila,,0.82,0.75,0.03,0.07,18,167588,317,0.092651379
Sapling,Sap005,5,Plateau,Rosette,Viola sp,,,,,,,,,
Sapling,Sap005,5,Plateau,Arugula,Hypochaeris sp,,,,,,,,,
Sapling,Sap005,5,Plateau,GreenShrub,Gaultheria pumila,,0.48,0.36,0.06,0.12,,,,
Sapling,Sap005,5,Plateau,FuzzyLeaf,Erigeron sp,,,,,,,,,
Sapling,Sap005,5,Plateau,TallRed,Euphrasia meiantha,,0.86,0.79,0.03,0.07,25,240947,288,0.116197434
Sapling,Sap005,5,Plateau,Grass,Festuca sp,,1.71,1.59,0.17,0.12,6,355232,217,1.257307085
Sapling,Sap005,5,Plateau,extraSpikey,,,0.7,0.69,0.04,0.01,10,256848,289,0.307525054
Sapling,Sap005,5,Plateau,LeafyCushion,,,,,,,17,380599,275.59,0.29477579
Sapling,Sap006,6,Plateau,Clover,Oxalis adenophylla,,,,,,,,,
Sapling,Sap006,6,Plateau,FuzzyLeaf,Erigeron sp,,,,,,,,,
Sapling,Sap006,6,Plateau,YellowFlower,Senecio agyreus,,,,,,,,,
Sapling,Sap006,6,Plateau,RedAloe,Poa sp,,,,,,4,1273499,257,4.820281155
Sapling,Sap006,6,Plateau,GreenShrub,Gaultheria pumila,,0.95,0.84,0.06,0.11,20,321489,283,0.200707338
Sapling,Sap006,6,Plateau,Grass,Festuca sp,,2.27,1.98,0.37,0.29,10,1271509,243,2.153311656
Sapling,Sap006,6,Plateau,Rosette,Viola sp,,,,,,,,,
Sapling,Sap006,6,Plateau,RedLettuce,,,,,,,,,,
Sapling,Sap006,6,Plateau,Arugula,Hypochaeris sp,,,,,,,,,
Sapling,Sap006,6,Plateau,spikeyRose,Nassauvia revoluta,,0.55,0.54,0.01,0.01,10,71086,313,0.072559687
Sapling,Sap007,7,Plateau,FuzzyLeaf,Erigeron sp,,,,,,,,,
Sapling,Sap007,7,Plateau,Arugula,Hypochaeris sp,,,,,,,,,
Sapling,Sap007,7,Plateau,RedAloe,Poa sp,,,,,,5,1057049,258,3.176038099
Sapling,Sap007,7,Plateau,GreenShrub,Gaultheria pumila,,1.08,1.05,0.05,0.03,20,200135,296,0.114211445
Sapling,Sap007,7,Plateau,YellowFlower,Senecio agyreus,,1.08,0.87,0.11,0.21,14,2242430,281,2.028514981
Sapling,Sap007,7,Plateau,TallRed,Euphrasia meiantha,,0.65,0.61,0.04,0.04,22,272392,299,0.138493468
Sapling,Sap007,7,Plateau,Grass,Festuca sp,,2.46,2.21,0.24,0.25,5,1091043,239,3.820111693
Sapling,Sap007,7,Plateau,Rosette,Viola sp,,,,,,,,,
Sapling,Sap007,7,Plateau,Cilantro,Sanicula graveolens,,,,,,,,,
Sapling,Sap007,7,Plateau,Dandelion,Hypochaeris sp,,,,,,,,,
Sapling,Sap007,7,Plateau,LeafyCushion,,,0.89,0.83,0.07,0.06,,,,
Sapling,Sap007,7,Plateau,fatGreen,Perezia bellidifolia,,3.4,2.18,0.14,1.22,6,1901824,266,4.479770856
Sapling,Sap009,9,Plateau,GreenShrub,Gaultheria pumila,,1.29,1.11,0.14,0.18,55,116146,118,0.151662271
Sapling,Sap009,9,Plateau,RedLettuce,,,1.11,0.8,0.06,0.31,10,102343,118,0.735011491
Sapling,Sap009,9,Plateau,Rosette,Viola sp,,1.17,0.91,0.07,0.26,19,51774,118,0.195701477
Sapling,Sap009,9,Plateau,RedAloe,Poa sp,0.93,1.35,1.11,0.18,0.24,5,132489,118,1.903030738
Sapling,Sap009,9,Plateau,Grass,Festuca sp,0.98,1.16,1.09,0.11,0.07,8,73597,118,0.660702743
Sapling,Sap010,10,Plateau,Arugula,Hypochaeris sp,,1.67,1.17,0.16,0.5,5,280120,118,4.023556449
Sapling,Sap010,10,Plateau,GreenShrub,Gaultheria pumila,,0.95,0.77,0.13,0.18,42,86285,118,0.147544151
Sapling,Sap010,10,Plateau,Rosette,Viola sp,,0.38,0.33,0.01,0.05,9,19794,118,0.157952696
Sapling,Sap010,10,Plateau,SmallShrub,Empetrum rubrum,,1.13,0.94,0.1,0.19,63,40712,118,0.046410674
Sapling,Sap010,10,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,1.67,1.5,0.15,0.17,11,114304,118,0.746285028
Sapling,Sap010,10,Plateau,YellowFlower,Senecio agyreus,,1.29,0.98,0.14,0.31,18,169206,118,0.675117303
Sapling,Sap011,11,Plateau,Cilantro,Sanicula graveolens,,1.34,1.07,0.08,0.27,6,274942,118,3.290984391
Sapling,Sap011,11,Plateau,GreenShrub,Gaultheria pumila,,1.26,1.13,0.1,0.13,42,114694,118,0.196122488
Sapling,Sap011,11,Plateau,SmallShrub,Empetrum rubrum,,1.1,1.07,0.01,0.03,66,55785,118,0.060702907
Sapling,Sap011,11,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,,,,,9,64875,118,0.517691276
Sapling,Sap011,11,Plateau,TallRed,Euphrasia meiantha,,0.68,0.6,0.04,0.08,17,38530,118,0.162774389
Sapling,Sap011,11,Plateau,YellowFlower,Senecio agyreus,,2.22,1.62,0.22,0.6,25,203444,118,0.584441253
Sapling,Sap011,11,Plateau,Grass,Festuca sp,1.01,1.31,1.17,0.16,0.14,4,131930,118,2.368751795
Sapling,Sap011,11,Plateau,SpikeyCushion,,,1.16,1.03,0.1,0.13,,,,
Sapling,Sap011,11,Plateau,RedAloe,Poa sp,0.94,1.34,1.16,0.22,0.18,3,172381,118,4.126711673
Sapling,Sap012,12,Plateau,Arugula,Hypochaeris sp,,,,,,5,197686,118,2.839500144
Sapling,Sap012,12,Plateau,Curly,Tristagma nivale,,,,,,NA,239413,118,NA
Sapling,Sap012,12,Plateau,Dandelion,Hypochaeris sp,,1.54,1.22,0.08,0.32,6,184284,118,2.205831658
Sapling,Sap012,12,Plateau,GreenShrub,Gaultheria pumila,,1.07,1,0.08,0.07,57,101311,118,0.127649093
Sapling,Sap012,12,Plateau,OtherGreenShrub,,,1.3,1.09,0.11,0.21,,,,
Sapling,Sap012,12,Plateau,RedAloe,Poa sp,0.97,1.5,1.31,0.34,0.19,7,222908,118,2.286986498
Sapling,Sap012,12,Plateau,Rosette,Viola sp,,,,,,26,70241,118,0.194023048
Sapling,Sap012,12,Plateau,SpikeyCushion,Mulinum echinus,,1.96,1.43,0.15,0.53,13,35651,118,0.196953793
Sapling,Sap012,12,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,0.91,0.85,0.06,0.06,7,54434,118,0.558480732
Sapling,Sap012,12,Plateau,Weird,,,1.32,0.99,0.01,0.33,,,,
Sapling,Sap012,12,Plateau,spikeyRose,Nassauvia revoluta,,1,0.89,0.06,0.11,33,404,118,0.000879232
Sapling,Sap013,13,Plateau,Arugula,Hypochaeris sp,,,,,,6,244548,118,2.927176099
Sapling,Sap013,13,Plateau,Dandelion,Hypochaeris sp,,2.92,2.3,0.1,0.62,6,361952,118,4.332471512
Sapling,Sap013,13,Plateau,GreenShrub,Gaultheria pumila,,1.26,1.13,0.13,0.13,40,136823,118,0.245660371
Sapling,Sap013,13,Plateau,RedAloe,Poa sp,,1.34,1.24,0.18,0.1,NA,292235,118,NA
Sapling,Sap013,13,Plateau,RedAloe,Poa sp,,1.47,1.31,0.24,0.16,,,,
Sapling,Sap013,13,Plateau,YellowFlower,Senecio agyreus,,1.54,1.05,0.2,0.49,18,228451,118,0.911499729
Sapling,Sap013,13,Plateau,Grass,Festuca sp,1.08,1.43,1.23,0.15,0.2,6,117039,118,1.400926458
Sapling,Sap014,14,Plateau,Arugula,Hypochaeris sp,,1.69,1.13,0.16,0.56,5,313304,118,4.500201092
Sapling,Sap014,14,Plateau,Dandelion,Hypochaeris sp,,1.05,0.79,0.06,0.26,4,191894,118,3.445382074
Sapling,Sap014,14,Plateau,GreenShrub,Gaultheria pumila,,1.29,1.14,0.09,0.15,41,111797,118,0.195831377
Sapling,Sap014,14,Plateau,Mistery2,,,1.4,0.93,0.07,0.47,NA,280267,118,NA
Sapling,Sap014,14,Plateau,newGreen,,,0.45,0.44,0.01,0.01,4,13994,118,0.251256823
Sapling,Sap014,14,Plateau,spikeyRose,Nassauvia revoluta,,0.72,0.69,0.9,0.03,12,29399,118,0.1759492
Sapling,Sap014,14,Plateau,YellowFlower,Senecio agyreus,,2.07,1.6,0.16,0.47,31,202530,118,0.469206105
Sapling,Sap015,15,Plateau,Grass,Festuca sp,0.99,1.46,1.19,0.2,0.27,9,165852,118,1.323470267
Sapling,Sap015,15,Plateau,GreenShrub,Gaultheria pumila,,1.24,1.13,0.12,0.11,46,79314,118,0.123830608
