"siteCode","Area","Morphospecies","LeafNumber","RawTotalLeafArea","Treatment","pixelDens","uniqueID","leaveDryMass","H2O_weight","LWC","LDMC","MLA","SLA"
"Sap002","Plateau","YellowFlower",17,873234,"Sapling",376,"Sap002_YellowFlower",0.1,0.16,0.009411765,0.005882353,36.3333988,0.363333988
"Sap003","Plateau","Clover",10,331478,"Sapling",347,"Sap003_Clover",0.02,0.07,0.007,0.002,27.52933751,1.376466875
"Sap003","Plateau","Dandelion",5,763662,"Sapling",269,"Sap003_Dandelion",0.12,0.32,0.064,0.024,211.0700515,1.758917096
"Sap003","Plateau","GreenShrub",20,269430,"Sapling",352.36,"Sap003_GreenShrub",0.01,0.08,0.004,5e-04,10.85032515,1.085032515
"Sap003","Plateau","LeafyCushion",20,690136,"Sapling",359,"Sap003_LeafyCushion",NA,NA,NA,NA,26.774156,NA
"Sap003","Plateau","Rosette",10,199180,"Sapling",328.05,"Sap003_Rosette",0.04,0.1,0.01,0.004,18.50826222,0.462706556
"Sap004","Plateau","Cushion",9,92451,"Sapling",266,"Sap004_Cushion",0.01,0.01,0.001111111,0.001111111,14.51796785,1.451796785
"Sap004","Plateau","Grass",5,937465,"Sapling",261,"Sap004_Grass",NA,NA,NA,NA,275.2352432,NA
"Sap004","Plateau","GreenShrub",20,236706,"Sapling",384.08,"Sap004_GreenShrub",0.28,0.17,0.0085,0.014,8.022983239,0.028653512
"Sap004","Plateau","GreenShrub",15,485145,"Sapling",382,"Sap004_GreenShrub",0.28,0.17,0.011333333,0.018666667,22.1642773,0.079158133
"Sap004","Plateau","GreenShrub",15,367403,"Sapling",346,"Sap004_GreenShrub",0.28,0.17,0.011333333,0.018666667,20.45969907,0.073070354
"Sap004","Plateau","GreenShrub",15,329158,"Sapling",338,"Sap004_GreenShrub",0.28,0.17,0.011333333,0.018666667,19.20789421,0.068599622
"Sap004","Plateau","RedAloe",5,1693944,"Sapling",220,"Sap004_RedAloe",NA,NA,NA,NA,699.9768595,NA
"Sap005","Plateau","Grass",6,355232,"Sapling",217,"Sap005_Grass",0.17,0.12,0.02,0.028333333,125.7307085,0.739592403
"Sap005","Plateau","GreenShrub",18,167588,"Sapling",317,"Sap005_GreenShrub",0.03,0.07,0.003888889,0.001666667,9.26513792,0.308837931
"Sap005","Plateau","LeafyCushion",17,380599,"Sapling",275.59,"Sap005_LeafyCushion",NA,NA,NA,NA,29.477579,NA
"Sap005","Plateau","RedAloe",5,745287,"Sapling",266,"Sap005_RedAloe",0.17,0.12,0.024,0.034,210.663972,1.239199835
"Sap005","Plateau","TallRed",25,240947,"Sapling",288,"Sap005_TallRed",0.03,0.07,0.0028,0.0012,11.61974344,0.387324781
"Sap005","Plateau","XtraSpikey",10,256848,"Sapling",289,"Sap005_XtraSpikey",0.04,0.01,0.001,0.004,30.75250536,0.768812634
"Sap006","Plateau","Grass",10,1271509,"Sapling",243,"Sap006_Grass",0.37,0.29,0.029,0.037,215.3311656,0.581976123
"Sap006","Plateau","GreenShrub",20,321489,"Sapling",283,"Sap006_GreenShrub",0.06,0.11,0.0055,0.003,20.07073381,0.33451223
"Sap006","Plateau","RedAloe",4,1273499,"Sapling",257,"Sap006_RedAloe",NA,NA,NA,NA,482.0281155,NA
"Sap006","Plateau","SpikeyRose",10,71086,"Sapling",313,"Sap006_SpikeyRose",0.01,0.01,0.001,0.001,7.255968725,0.725596872
"Sap007","Plateau","FatGreen",6,1901824,"Sapling",266,"Sap007_FatGreen",0.14,1.22,0.203333333,0.023333333,447.9770856,3.199836326
"Sap007","Plateau","Grass",5,1091043,"Sapling",239,"Sap007_Grass",0.24,0.25,0.05,0.048,382.0111693,1.591713205
"Sap007","Plateau","GreenShrub",20,200135,"Sapling",296,"Sap007_GreenShrub",0.05,0.03,0.0015,0.0025,11.42114454,0.228422891
"Sap007","Plateau","RedAloe",5,1057049,"Sapling",258,"Sap007_RedAloe",NA,NA,NA,NA,317.6038099,NA
"Sap007","Plateau","TallRed",22,272392,"Sapling",299,"Sap007_TallRed",0.04,0.04,0.001818182,0.001818182,13.84934681,0.34623367
"Sap008","Plateau","Grass",5,643724,"Sapling",237,"Sap008_Grass",0.22,0.16,0.032,0.044,229.2097064,1.041862302
"Sap008","Plateau","GreenShrub",26,289467,"Sapling",241,"Sap008_GreenShrub",0.1,0.1,0.003846154,0.003846154,19.16865439,0.191686544
"Sap008","Plateau","Rosette",14,227294,"Sapling",259,"Sap008_Rosette",NA,NA,NA,NA,24.20250997,NA
"Sap008","Plateau","SmallShrub",41,236716,"Sapling",321,"Sap008_SmallShrub",0.01,0.02,0.000487805,0.000243902,5.603168618,0.560316862
"Sap008","Plateau","SpikeyGreen",8,577344,"Sapling",236,"Sap008_SpikeyGreen",0.09,0.12,0.015,0.01125,129.5748348,1.439720387
"Sap009","Plateau","Grass",8,73597,"Sapling",118,"Sap009_Grass",0.11,0.07,0.00875,0.01375,66.07027435,0.600638858
"Sap009","Plateau","GreenShrub",55,116146,"Sapling",118,"Sap009_GreenShrub",0.14,0.18,0.003272727,0.002545455,15.16622705,0.108330193
"Sap009","Plateau","RedAloe",5,132489,"Sapling",118,"Sap009_RedAloe",0.18,0.24,0.048,0.036,190.3030738,1.057239299
"Sap009","Plateau","RedLettuce",10,102343,"Sapling",118,"Sap009_RedLettuce",0.06,0.31,0.031,0.006,73.5011491,1.225019152
"Sap009","Plateau","Rosette",19,51774,"Sapling",118,"Sap009_Rosette",0.07,0.26,0.013684211,0.003684211,19.57014772,0.279573539
"Sap010","Plateau","Arugula",5,280120,"Sapling",118,"Sap010_Arugula",0.16,0.5,0.1,0.032,402.3556449,2.514722781
"Sap010","Plateau","GreenShrub",42,86285,"Sapling",118,"Sap010_GreenShrub",0.13,0.18,0.004285714,0.003095238,14.75441512,0.113495501
"Sap010","Plateau","Rosette",9,19794,"Sapling",118,"Sap010_Rosette",0.01,0.05,0.005555556,0.001111111,15.79526956,1.579526956
"Sap010","Plateau","SmallShrub",63,40712,"Sapling",118,"Sap010_SmallShrub",0.1,0.19,0.003015873,0.001587302,4.641067382,0.046410674
"Sap010","Plateau","SpikeyGreen",11,114304,"Sapling",118,"Sap010_SpikeyGreen",0.15,0.17,0.015454545,0.013636364,74.62850278,0.497523352
"Sap010","Plateau","YellowFlower",18,169206,"Sapling",118,"Sap010_YellowFlower",0.14,0.31,0.017222222,0.007777778,67.51173035,0.482226645
"Sap011","Plateau","Cilantro",6,274942,"Sapling",118,"Sap011_Cilantro",0.08,0.27,0.045,0.013333333,329.0984391,4.113730489
"Sap011","Plateau","Grass",4,131930,"Sapling",118,"Sap011_Grass",0.16,0.14,0.035,0.04,236.8751795,1.480469872
"Sap011","Plateau","GreenShrub",42,114694,"Sapling",118,"Sap011_GreenShrub",0.1,0.13,0.003095238,0.002380952,19.61224881,0.196122488
"Sap011","Plateau","RedAloe",3,172381,"Sapling",118,"Sap011_RedAloe",0.22,0.18,0.06,0.073333333,412.6711673,1.875778033
"Sap011","Plateau","SmallShrub",66,55785,"Sapling",118,"Sap011_SmallShrub",0.01,0.03,0.000454545,0.000151515,6.070290669,0.607029067
"Sap011","Plateau","SpikeyGreen",9,64875,"Sapling",118,"Sap011_SpikeyGreen",NA,NA,NA,NA,51.76912765,NA
"Sap011","Plateau","TallRed",17,38530,"Sapling",118,"Sap011_TallRed",0.04,0.08,0.004705882,0.002352941,16.27743887,0.406935972
"Sap011","Plateau","YellowFlower",25,203444,"Sapling",118,"Sap011_YellowFlower",0.22,0.6,0.024,0.0088,58.44412525,0.265655115
"Sap012","Plateau","Arugula",5,197686,"Sapling",118,"Sap012_Arugula",NA,NA,NA,NA,283.9500144,NA
"Sap012","Plateau","Dandelion",6,184284,"Sapling",118,"Sap012_Dandelion",0.08,0.32,0.053333333,0.013333333,220.5831658,2.757289572
"Sap012","Plateau","GreenShrub",57,101311,"Sapling",118,"Sap012_GreenShrub",0.08,0.07,0.00122807,0.001403509,12.76490926,0.159561366
"Sap012","Plateau","RedAloe",7,222908,"Sapling",118,"Sap012_RedAloe",0.34,0.19,0.027142857,0.048571429,228.6986498,0.672643088
"Sap012","Plateau","Rosette",26,70241,"Sapling",118,"Sap012_Rosette",NA,NA,NA,NA,19.40230482,NA
"Sap012","Plateau","SpikeyCushion",13,35651,"Sapling",118,"Sap012_SpikeyCushion",0.15,0.53,0.040769231,0.011538462,19.69537931,0.131302529
"Sap012","Plateau","SpikeyGreen",7,54434,"Sapling",118,"Sap012_SpikeyGreen",0.06,0.06,0.008571429,0.008571429,55.84807321,0.93080122
"Sap012","Plateau","SpikeyRose",33,404,"Sapling",118,"Sap012_SpikeyRose",0.06,0.11,0.003333333,0.001818182,0.087923185,0.001465386
"Sap013","Plateau","Arugula",6,244548,"Sapling",118,"Sap013_Arugula",NA,NA,NA,NA,292.7176099,NA
"Sap013","Plateau","Dandelion",6,361952,"Sapling",118,"Sap013_Dandelion",0.1,0.62,0.103333333,0.016666667,433.2471512,4.332471512
"Sap013","Plateau","Grass",6,117039,"Sapling",118,"Sap013_Grass",0.15,0.2,0.033333333,0.025,140.0926458,0.933950972
"Sap013","Plateau","GreenShrub",40,136823,"Sapling",118,"Sap013_GreenShrub",0.13,0.13,0.00325,0.00325,24.56603706,0.188969516
"Sap013","Plateau","RedAloe",NA,292235,"Sapling",118,"Sap013_RedAloe",0.18,0.1,NA,NA,NA,NA
"Sap013","Plateau","YellowFlower",18,228451,"Sapling",118,"Sap013_YellowFlower",0.2,0.49,0.027222222,0.011111111,91.14997287,0.455749864
"Sap014","Plateau","Arugula",5,313304,"Sapling",118,"Sap014_Arugula",0.16,0.56,0.112,0.032,450.0201092,2.812625682
"Sap014","Plateau","Dandelion",4,191894,"Sapling",118,"Sap014_Dandelion",0.06,0.26,0.065,0.015,344.5382074,5.742303457
"Sap014","Plateau","GreenShrub",41,111797,"Sapling",118,"Sap014_GreenShrub",0.09,0.15,0.003658537,0.002195122,19.58313773,0.217590419
"Sap014","Plateau","NewGreen",4,13994,"Sapling",118,"Sap014_NewGreen",0.01,0.01,0.0025,0.0025,25.12568228,2.512568228
"Sap014","Plateau","SpikeyRose",12,29399,"Sapling",118,"Sap014_SpikeyRose",0.09,0.03,0.0025,0.0075,17.59492004,0.195499112
"Sap014","Plateau","YellowFlower",31,202530,"Sapling",118,"Sap014_YellowFlower",0.16,0.47,0.01516129,0.00516129,46.9206105,0.293253816
"Sap015","Plateau","Grass",9,165852,"Sapling",118,"Sap015_Grass",0.2,0.27,0.03,0.022222222,132.3470267,0.661735134
"Sap015","Plateau","GreenShrub",46,79314,"Sapling",118,"Sap015_GreenShrub",0.12,0.11,0.002391304,0.002608696,12.38306084,0.103192174
"Sap015","Plateau","LeafyCushion",32,126279,"Sapling",118,"Sap015_LeafyCushion",0.12,0.3,0.009375,0.00375,28.34112863,0.236176072
"Sap015","Plateau","NewGreen",NA,56149,"Sapling",118,"Sap015_NewGreen",NA,NA,NA,NA,NA,NA
"Sap015","Plateau","OtherGreenShrub",22,76141,"Sapling",118,"Sap015_OtherGreenShrub",0.09,0.16,0.007272727,0.004090909,24.85603667,0.276178185
"Sap015","Plateau","RedAloe",5,281885,"Sapling",118,"Sap015_RedAloe",0.31,0.44,0.088,0.062,404.890836,1.306099471
"Sap015","Plateau","Rosette",21,77786,"Sapling",118,"Sap015_Rosette",0.08,0.18,0.008571429,0.003809524,26.60223526,0.332527941
"Sap015","Plateau","SpikeyGreen",12,78232,"Sapling",118,"Sap015_SpikeyGreen",0.07,0.17,0.014166667,0.005833333,46.82083692,0.668869099
"Sap015","Plateau","YellowFlower",28,247680,"Sapling",118,"Sap015_YellowFlower",0.22,0.7,0.025,0.007857143,63.5285427,0.288766103
