"siteCode","Area","Morphospecies","LeafNumber","RawTotalLeafArea","Treatment","pixelDens","uniqueID","leaveDryMass","H2O_weight","LWC","LDMC","MLA","SLA"
"Con010","Plateau","GreenShrub",71,117200,"Control",118,"Con010_GreenShrub",0.16,0.16,0.002253521,0.002253521,11.85510073,0.07409438
"Con010","Plateau","RedAloe",7,160698,"Control",118,"Con010_RedAloe",0.17,0.16,0.022857143,0.024285714,164.8725736,0.969838668
"Con010","Plateau","Rosette",33,121116,"Control",118,"Con010_Rosette",0.08,0.27,0.008181818,0.002424242,26.35867436,0.32948343
"Con010","Plateau","SmallShrub",56,34125,"Control",118,"Con010_SmallShrub",0.01,0.07,0.00125,0.000178571,4.376436369,0.437643637
"Con011","Plateau","Arugula",6,398304,"Control",118,"Con011_Arugula",0.16,0.84,0.14,0.026666667,476.7595519,2.979747199
"Con011","Plateau","Grass",8,92331,"Control",118,"Con011_Grass",0.15,0.1,0.0125,0.01875,82.88835823,0.552589055
"Con011","Plateau","RedAloe",5,76492,"Control",118,"Con011_RedAloe",0.05,0.04,0.008,0.01,109.8707268,2.197414536
"Con011","Plateau","SmallShrub",73,57733,"Control",118,"Con011_SmallShrub",0.05,0.08,0.00109589,0.000684932,5.679855025,0.113597101
"Con011","Plateau","TallRed",26,97073,"Control",118,"Con011_TallRed",0.08,0.23,0.008846154,0.003076923,26.81396813,0.335174602
"Con011","Plateau","YellowFlower",23,239009,"Control",118,"Con011_YellowFlower",0.21,0.53,0.023043478,0.009130435,74.63154016,0.355388286
"Con012","Plateau","Grass",7,61201,"Control",118,"Con012_Grass",0.09,0.02,0.002857143,0.012857143,62.79086469,0.697676274
"Con012","Plateau","GreenShrub",50,82472,"Control",118,"Con012_GreenShrub",0.1,0.08,0.0016,0.002,11.84602126,0.118460213
"Con012","Plateau","SmallShrub",66,38837,"Control",118,"Con012_SmallShrub",0.01,0.04,0.000606061,0.000151515,4.226080106,0.422608011
"Con012","Plateau","SpikeyGreen",11,74749,"Control",118,"Con012_SpikeyGreen",NA,NA,NA,NA,48.80324358,NA
"Con013","Plateau","Arugula",7,344225,"Control",118,"Con013_Arugula",0.14,0.72,0.102857143,0.02,353.1671933,2.52262281
"Con013","Plateau","Grass",6,80647,"Control",118,"Con013_Grass",0.17,0.11,0.018333333,0.028333333,96.53236618,0.567837448
"Con013","Plateau","GreenShrub",73,127420,"Control",118,"Con013_GreenShrub",0.01,0.03,0.000410959,0.000136986,12.53576165,1.253576165
"Con013","Plateau","OtherGreenShrub",45,87552,"Control",118,"Con013_OtherGreenShrub",0.12,0.07,0.001555556,0.002666667,13.97299627,0.116441636
