"","Sample","Plot_Number","Plant","Plate","Well","Plot","Treatment","Zone","Percent_Moisture","Lat","Lon","Basel_Diameter_estimated","Half_Tree_Cover","Tree_Height","Trunk_Circumference"
"plate1-D06-ITS","P15O",15,"O",1,"D06","Pine015","Pine","Plateau",14.1188168,-41.97142803,-71.462865,27,172,410,84.82300165
"plate1-D07-ITS","C6N",6,"N",1,"D07","Con006","Control","Plateau",3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA
"plate1-D08-ITS","P15D",15,"D",1,"D08","Pine015","Pine","Plateau",14.1188168,-41.97142803,-71.462865,27,172,410,84.82300165
"plate1-D09-ITS","C6O",6,"O",1,"D09","Con006","Control","Plateau",3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA
"plate1-D10-ITS","P4J",4,"J",1,"D10","Pine004","Pine","Plateau",2.5352409,-41.96744503,-71.46401399,24,162,300,75.39822369
"plate1-D11-ITS","S7P",7,"P",1,"D11","Sap007","Sapling","Plateau",7.205574913,-41.96786799,-71.45901402,3.9,45,75,12.25221135
"plate1-D12-ITS","P4H",4,"H",1,"D12","Pine004","Pine","Plateau",2.5352409,-41.96744503,-71.46401399,24,162,300,75.39822369
"plate1-E01-ITS","S2F",2,"F",1,"E01","Sap002","Sapling","Plateau",5.444811482,-41.96944596,-71.46430501,5.2,44,123,16.3362818
"plate1-E02-ITS","C4J",4,"J",1,"E02","Con004","Control","Plateau",NA,-41.96762499,-71.46443401,NA,NA,NA,NA
"plate1-E03-ITS","C2C",2,"C",1,"E03","Con002","Control","Plateau",3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA
"plate1-E04-ITS","P15AG",15,"AG",1,"E04","Pine015","Pine","Plateau",14.1188168,-41.97142803,-71.462865,27,172,410,84.82300165
"plate1-E05-ITS","S9C",9,"C",1,"E05","Sap009","Sapling","Plateau",6.452269489,-41.96685998,-71.45571699,5.3,52,130,16.65044106
"plate1-E06-ITS","C6Q",6,"Q",1,"E06","Con006","Control","Plateau",3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA
"plate1-E07-ITS","C5E",5,"E",1,"E07","Con005","Control","Plateau",2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA
"plate1-E08-ITS","C4D",4,"D",1,"E08","Con004","Control","Plateau",NA,-41.96762499,-71.46443401,NA,NA,NA,NA
"plate1-E09-ITS","P10O",10,"O",1,"E09","Pine010","Pine","Plateau",6.132414189,-41.96798902,-71.45368103,18,102,322,56.54866776
"plate1-E10-ITS","P2D",2,"D",1,"E10","Pine002","Pine","Plateau",4.271017354,-41.96939399,-71.46275997,14,115,246,43.98229715
"plate1-E11-ITS","C11O",11,"O",1,"E11","Con011","Control","Plateau",0.913786253,-41.96943599,-71.45543603,NA,NA,NA,NA
"plate1-E12-ITS","P8Q",8,"Q",1,"E12","Pine008","Pine","Plateau",5.765694773,-41.96754101,-71.45763896,13,154,446,40.8407045
"plate1-F01-ITS","S7N",7,"N",1,"F01","Sap007","Sapling","Plateau",7.205574913,-41.96786799,-71.45901402,3.9,45,75,12.25221135
"plate1-F02-ITS","C7C",7,"C",1,"F02","Con007","Control","Plateau",3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA
"plate1-F03-ITS","S1F",1,"F",1,"F03","Sap001","Sapling","Plateau",6.373824295,-41.97058297,-71.46507103,5.6,56,109,17.59291886
"plate1-F04-ITS","C9D",9,"D",1,"F04","Con009","Control","Plateau",NA,-41.96637802,-71.45568397,NA,NA,NA,NA
"plate1-F05-ITS","S13D",13,"D",1,"F05","Sap013","Sapling","Plateau",9.637462236,-41.97090198,-71.45931099,3.2,48,87,10.05309649
"plate1-F06-ITS","C15 Soil",15,"Soil",1,"F06","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate1-F07-ITS","S15G",15,"G",1,"F07","Sap015","Sapling","Plateau",5.808047923,-41.97158402,-71.46218003,2.6,44,72,8.168140899
"plate1-F08-ITS","C10J",10,"J",1,"F08","Con010","Control","Plateau",0.762559809,-41.96778601,-71.45405704,NA,NA,NA,NA
"plate1-F09-ITS","C15AG",15,"AG",1,"F09","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate1-F10-ITS","S15M2",15,"M2",1,"F10","Sap015","Sapling","Plateau",5.808047923,-41.97158402,-71.46218003,2.6,44,72,8.168140899
"plate1-F11-ITS","C4G",4,"G",1,"F11","Con004","Control","Plateau",NA,-41.96762499,-71.46443401,NA,NA,NA,NA
"plate1-F12-ITS","P6D",6,"D",1,"F12","Pine006","Pine","Plateau",NA,-41.96749298,-71.46145298,14,93,250,43.98229715
"plate1-G01-ITS","P12AE",12,"AE",1,"G01","Pine012","Pine","Plateau",7.696457472,-41.97052798,-71.45868503,18,128,247,56.54866776
"plate1-G02-ITS","P2J",2,"J",1,"G02","Pine002","Pine","Plateau",4.271017354,-41.96939399,-71.46275997,14,115,246,43.98229715
"plate1-G03-ITS","C12AG",12,"AG",1,"G03","Con012","Control","Plateau",1.627096131,-41.97026202,-71.45733596,NA,NA,NA,NA
"plate1-G04-ITS","P1C",1,"C",1,"G04","Pine001","Pine","Plateau",3.038704669,-41.97056302,-71.46467004,29.6,182,395,93
"plate1-G05-ITS","C6T",6,"T",1,"G05","Con006","Control","Plateau",3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA
"plate1-G06-ITS","S14T",14,"T",1,"G06","Sap014","Sapling","Plateau",5.534883721,-41.97211199,-71.45967199,6,55,147,18.84955592
"plate1-G07-ITS","C2H",2,"H",1,"G07","Con002","Control","Plateau",3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA
"plate1-G08-ITS","P1G",1,"G",1,"G08","Pine001","Pine","Plateau",3.038704669,-41.97056302,-71.46467004,29.6,182,395,93
"plate1-G09-ITS","C4C",4,"C",1,"G09","Con004","Control","Plateau",NA,-41.96762499,-71.46443401,NA,NA,NA,NA
"plate1-G10-ITS","S11O",11,"O",1,"G10","Sap011","Sapling","Plateau",9.157673861,-41.96905696,-71.454769,3.5,41,80,10.99557429
"plate1-G11-ITS","C15F",15,"F",1,"G11","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate1-G12-ITS","S8C",8,"C",1,"G12","Sap008","Sapling","Plateau",8.64906238,-41.96826898,-71.45838202,4.2,42,96,13.19468915
