"","Sample","Plot_Number","Plant","Plate","Well","Plot","Treatment","Zone","Percent_Moisture","Lat","Lon","Basel_Diameter_estimated","Half_Tree_Cover","Tree_Height","Trunk_Circumference"
"plate1-E06-16S","C6Q",6,"Q",1,"E06","Con006","Control","Plateau",3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA
"plate1-E07-16S","C5E",5,"E",1,"E07","Con005","Control","Plateau",2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA
"plate1-E08-16S","C4D",4,"D",1,"E08","Con004","Control","Plateau",NA,-41.96762499,-71.46443401,NA,NA,NA,NA
"plate1-E09-16S","P10O",10,"O",1,"E09","Pine010","Pine","Plateau",6.132414189,-41.96798902,-71.45368103,18,102,322,56.54866776
"plate1-E10-16S","P2D",2,"D",1,"E10","Pine002","Pine","Plateau",4.271017354,-41.96939399,-71.46275997,14,115,246,43.98229715
"plate1-E11-16S","C11O",11,"O",1,"E11","Con011","Control","Plateau",0.913786253,-41.96943599,-71.45543603,NA,NA,NA,NA
"plate1-E12-16S","P8Q",8,"Q",1,"E12","Pine008","Pine","Plateau",5.765694773,-41.96754101,-71.45763896,13,154,446,40.8407045
"plate1-F01-16S","S7N",7,"N",1,"F01","Sap007","Sapling","Plateau",7.205574913,-41.96786799,-71.45901402,3.9,45,75,12.25221135
"plate1-F02-16S","C7C",7,"C",1,"F02","Con007","Control","Plateau",3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA
"plate1-F03-16S","S1F",1,"F",1,"F03","Sap001","Sapling","Plateau",6.373824295,-41.97058297,-71.46507103,5.6,56,109,17.59291886
"plate1-F04-16S","C9D",9,"D",1,"F04","Con009","Control","Plateau",NA,-41.96637802,-71.45568397,NA,NA,NA,NA
"plate1-F05-16S","S13D",13,"D",1,"F05","Sap013","Sapling","Plateau",9.637462236,-41.97090198,-71.45931099,3.2,48,87,10.05309649
"plate1-F06-16S","C15 Soil",15,"Soil",1,"F06","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate1-F07-16S","S15G",15,"G",1,"F07","Sap015","Sapling","Plateau",5.808047923,-41.97158402,-71.46218003,2.6,44,72,8.168140899
"plate1-F08-16S","C10J",10,"J",1,"F08","Con010","Control","Plateau",0.762559809,-41.96778601,-71.45405704,NA,NA,NA,NA
"plate1-F09-16S","C15AG",15,"AG",1,"F09","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate1-F10-16S","S15M2",15,"M2",1,"F10","Sap015","Sapling","Plateau",5.808047923,-41.97158402,-71.46218003,2.6,44,72,8.168140899
"plate1-F11-16S","C4G",4,"G",1,"F11","Con004","Control","Plateau",NA,-41.96762499,-71.46443401,NA,NA,NA,NA
"plate1-F12-16S","P6D",6,"D",1,"F12","Pine006","Pine","Plateau",NA,-41.96749298,-71.46145298,14,93,250,43.98229715
"plate1-G01-16S","P12AE",12,"AE",1,"G01","Pine012","Pine","Plateau",7.696457472,-41.97052798,-71.45868503,18,128,247,56.54866776
"plate1-G02-16S","P2J",2,"J",1,"G02","Pine002","Pine","Plateau",4.271017354,-41.96939399,-71.46275997,14,115,246,43.98229715
"plate1-G03-16S","C12AG",12,"AG",1,"G03","Con012","Control","Plateau",1.627096131,-41.97026202,-71.45733596,NA,NA,NA,NA
"plate1-G04-16S","P1C",1,"C",1,"G04","Pine001","Pine","Plateau",3.038704669,-41.97056302,-71.46467004,29.6,182,395,93
"plate1-G05-16S","C6T",6,"T",1,"G05","Con006","Control","Plateau",3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA
"plate1-G06-16S","S14T",14,"T",1,"G06","Sap014","Sapling","Plateau",5.534883721,-41.97211199,-71.45967199,6,55,147,18.84955592
"plate1-G07-16S","C2H",2,"H",1,"G07","Con002","Control","Plateau",3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA
"plate1-G08-16S","P1G",1,"G",1,"G08","Pine001","Pine","Plateau",3.038704669,-41.97056302,-71.46467004,29.6,182,395,93
"plate1-G09-16S","C4C",4,"C",1,"G09","Con004","Control","Plateau",NA,-41.96762499,-71.46443401,NA,NA,NA,NA
"plate1-G10-16S","S11O",11,"O",1,"G10","Sap011","Sapling","Plateau",9.157673861,-41.96905696,-71.454769,3.5,41,80,10.99557429
"plate1-G11-16S","C15F",15,"F",1,"G11","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate1-G12-16S","S8C",8,"C",1,"G12","Sap008","Sapling","Plateau",8.64906238,-41.96826898,-71.45838202,4.2,42,96,13.19468915
"plate1-H01-16S","C10C",10,"C",1,"H01","Con010","Control","Plateau",0.762559809,-41.96778601,-71.45405704,NA,NA,NA,NA
"plate1-H02-16S","C13B",13,"B",1,"H02","Con013","Control","Plateau",6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA
"plate1-H03-16S","S6J",6,"J",1,"H03","Sap006","Sapling","Plateau",6.803097345,-41.96683601,-71.46212697,4,58,60,12.56637061
"plate1-H04-16S","S6E",6,"E",1,"H04","Sap006","Sapling","Plateau",6.803097345,-41.96683601,-71.46212697,4,58,60,12.56637061
"plate1-H05-16S","C2B",2,"B",1,"H05","Con002","Control","Plateau",3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA
"plate1-H06-16S","C4B",4,"B",1,"H06","Con004","Control","Plateau",NA,-41.96762499,-71.46443401,NA,NA,NA,NA
"plate1-PCR-neg-16S","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA
"plate2-A01-16S","C14B",14,"B",2,"A01","Con014","Control","Plateau",4.68579235,-41.97177202,-71.46035504,NA,NA,NA,NA
"plate2-A02-16S","C12A",12,"A",2,"A02","Con012","Control","Plateau",1.627096131,-41.97026202,-71.45733596,NA,NA,NA,NA
"plate2-A04-16S","C13J",13,"J",2,"A04","Con013","Control","Plateau",6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA
"plate2-A05-16S","C2B",2,"B",2,"A05","Con002","Control","Plateau",3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA
"plate2-A06-16S","C7H",7,"H",2,"A06","Con007","Control","Plateau",3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA
"plate2-A07-16S","S7E",7,"E",2,"A07","Sap007","Sapling","Plateau",7.205574913,-41.96786799,-71.45901402,3.9,45,75,12.25221135
"plate2-A08-16S","S2H",2,"H",2,"A08","Sap002","Sapling","Plateau",5.444811482,-41.96944596,-71.46430501,5.2,44,123,16.3362818
"plate2-A09-16S","C8C",8,"C",2,"A09","Con008","Control","Plateau",3.047794967,-41.96818298,-71.45782001,NA,NA,NA,NA
"plate2-A10-16S","C15C",15,"C",2,"A10","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate2-A11-16S","C5 Soil",5,"Soil",2,"A11","Con005","Control","Plateau",2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA
"plate2-A12-16S","S17Q",17,"Q",2,"A12","Sap017","Sapling","Plateau",10.25263674,-41.97000998,-71.46205497,5.3,68,129,16.65044106
"plate2-B01-16S","P10Z",10,"Z",2,"B01","Pine010","Pine","Plateau",6.132414189,-41.96798902,-71.45368103,18,102,322,56.54866776
"plate2-B02-16S","C9AE",9,"AE",2,"B02","Con009","Control","Plateau",NA,-41.96637802,-71.45568397,NA,NA,NA,NA
"plate2-B03-16S","S11G",11,"G",2,"B03","Sap011","Sapling","Plateau",9.157673861,-41.96905696,-71.454769,3.5,41,80,10.99557429
"plate2-B04-16S","C15J",15,"J",2,"B04","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate2-B05-16S","C7D",7,"D",2,"B05","Con007","Control","Plateau",3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA
"plate2-B06-16S","S5O",5,"O",2,"B06","Sap005","Sapling","Plateau",3.585229712,-41.96759004,-71.46496299,2.7,46,93,8.482300165
"plate2-B07-16S","P8J",8,"J",2,"B07","Pine008","Pine","Plateau",5.765694773,-41.96754101,-71.45763896,13,154,446,40.8407045
"plate2-B08-16S","P1E",1,"E",2,"B08","Pine001","Pine","Plateau",3.038704669,-41.97056302,-71.46467004,29.6,182,395,93
"plate2-B09-16S","S7Q",7,"Q",2,"B09","Sap007","Sapling","Plateau",7.205574913,-41.96786799,-71.45901402,3.9,45,75,12.25221135
"plate2-B10-16S","P6J",6,"J",2,"B10","Pine006","Pine","Plateau",NA,-41.96749298,-71.46145298,14,93,250,43.98229715
"plate2-B11-16S","C10AE",10,"AE",2,"B11","Con010","Control","Plateau",0.762559809,-41.96778601,-71.45405704,NA,NA,NA,NA
"plate2-B12-16S","P13J",13,"J",2,"B12","Pine013","Pine","Plateau",9.351719765,-41.97135603,-71.45991004,11,97,220,34.55751919
"plate2-C01-16S","P12Q",12,"Q",2,"C01","Pine012","Pine","Plateau",7.696457472,-41.97052798,-71.45868503,18,128,247,56.54866776
"plate2-C02-16S","S15J",15,"J",2,"C02","Sap015","Sapling","Plateau",5.808047923,-41.97158402,-71.46218003,2.6,44,72,8.168140899
"plate2-C03-16S","S2I",2,"I",2,"C03","Sap002","Sapling","Plateau",5.444811482,-41.96944596,-71.46430501,5.2,44,123,16.3362818
"plate2-C04-16S","P12G",12,"G",2,"C04","Pine012","Pine","Plateau",7.696457472,-41.97052798,-71.45868503,18,128,247,56.54866776
"plate2-C05-16S","S12T",12,"T",2,"C05","Sap012","Sapling","Plateau",5.976095618,-41.97022196,-71.45667999,3.2,42,104,10.05309649
"plate2-C06-16S","C6P",6,"P",2,"C06","Con006","Control","Plateau",3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA
"plate2-C07-16S","C2M2",2,"M2",2,"C07","Con002","Control","Plateau",3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA
"plate2-C08-16S","C8B",8,"B",2,"C08","Con008","Control","Plateau",3.047794967,-41.96818298,-71.45782001,NA,NA,NA,NA
"plate2-C09-16S","C7O",7,"O",2,"C09","Con007","Control","Plateau",3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA
"plate2-C10-16S","P12D",12,"D",2,"C10","Pine012","Pine","Plateau",7.696457472,-41.97052798,-71.45868503,18,128,247,56.54866776
"plate2-C11-16S","P15J",15,"J",2,"C11","Pine015","Pine","Plateau",14.1188168,-41.97142803,-71.462865,27,172,410,84.82300165
"plate2-C12-16S","C7J",7,"J",2,"C12","Con007","Control","Plateau",3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA
"plate2-D01-16S","C9 Soil",9,"Soil",2,"D01","Con009","Control","Plateau",NA,-41.96637802,-71.45568397,NA,NA,NA,NA
"plate2-D02-16S","C11 Soil",11,"Soil",2,"D02","Con011","Control","Plateau",0.913786253,-41.96943599,-71.45543603,NA,NA,NA,NA
"plate2-D03-16S","P9AE",9,"AE",2,"D03","Pine009","Pine","Plateau",4.898688915,-41.96577,-71.45395998,17,137,410,53.40707511
"plate2-D04-16S","S12J",12,"J",2,"D04","Sap012","Sapling","Plateau",5.976095618,-41.97022196,-71.45667999,3.2,42,104,10.05309649
"plate2-D05-16S","P15Z",15,"Z",2,"D05","Pine015","Pine","Plateau",14.1188168,-41.97142803,-71.462865,27,172,410,84.82300165
"plate2-D06-16S","C12AE",12,"AE",2,"D06","Con012","Control","Plateau",1.627096131,-41.97026202,-71.45733596,NA,NA,NA,NA
"plate2-D07-16S","P7J",7,"J",2,"D07","Pine007","Pine","Plateau",5.192843866,-41.96773597,-71.45947603,13,140,320,40.8407045
"plate2-D08-16S","S6B.1",6,"B.1",2,"D08","Sap006","Sapling","Plateau",6.803097345,-41.96683601,-71.46212697,4,58,60,12.56637061
"plate2-D09-16S","C11J",11,"J",2,"D09","Con011","Control","Plateau",0.913786253,-41.96943599,-71.45543603,NA,NA,NA,NA
"plate2-D10-16S","S15AG",15,"AG",2,"D10","Sap015","Sapling","Plateau",5.808047923,-41.97158402,-71.46218003,2.6,44,72,8.168140899
"plate2-D11-16S","P14J",14,"J",2,"D11","Pine014","Pine","Plateau",10.84024254,-41.97169701,-71.461054,20,108,330,62.83185307
"plate2-D12-16S","C6B.1",6,"B.1",2,"D12","Con006","Control","Plateau",3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA
"plate2-E01-16S","S7D",7,"D",2,"E01","Sap007","Sapling","Plateau",7.205574913,-41.96786799,-71.45901402,3.9,45,75,12.25221135
"plate2-E02-16S","P2I",2,"I",2,"E02","Pine002","Pine","Plateau",4.271017354,-41.96939399,-71.46275997,14,115,246,43.98229715
"plate2-E03-16S","S7G",7,"G",2,"E03","Sap007","Sapling","Plateau",7.205574913,-41.96786799,-71.45901402,3.9,45,75,12.25221135
"plate2-E04-16S","S14D",14,"D",2,"E04","Sap014","Sapling","Plateau",5.534883721,-41.97211199,-71.45967199,6,55,147,18.84955592
"plate2-E05-16S","S6P",6,"P",2,"E05","Sap006","Sapling","Plateau",6.803097345,-41.96683601,-71.46212697,4,58,60,12.56637061
"plate2-E06-16S","P10Q",10,"Q",2,"E06","Pine010","Pine","Plateau",6.132414189,-41.96798902,-71.45368103,18,102,322,56.54866776
"plate2-E07-16S","P5C",5,"C",2,"E07","Pine005","Pine","Plateau",5.38028169,-41.96658002,-71.46364099,16,95,233,50.26548246
"plate2-E08-16S","S11J",11,"J",2,"E08","Sap011","Sapling","Plateau",9.157673861,-41.96905696,-71.454769,3.5,41,80,10.99557429
"plate2-E09-16S","C11AE",11,"AE",2,"E09","Con011","Control","Plateau",0.913786253,-41.96943599,-71.45543603,NA,NA,NA,NA
"plate2-E10-16S","C15G",15,"G",2,"E10","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate2-E11-16S","C13AE",13,"AE",2,"E11","Con013","Control","Plateau",6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA
"plate2-E12-16S","S11AE",11,"AE",2,"E12","Sap011","Sapling","Plateau",9.157673861,-41.96905696,-71.454769,3.5,41,80,10.99557429
"plate2-F01-16S","S2J",2,"J",2,"F01","Sap002","Sapling","Plateau",5.444811482,-41.96944596,-71.46430501,5.2,44,123,16.3362818
"plate2-F02-16S","P14F",14,"F",2,"F02","Pine014","Pine","Plateau",10.84024254,-41.97169701,-71.461054,20,108,330,62.83185307
"plate2-F03-16S","S2D",2,"D",2,"F03","Sap002","Sapling","Plateau",5.444811482,-41.96944596,-71.46430501,5.2,44,123,16.3362818
"plate2-F04-16S","C15B",15,"B",2,"F04","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate2-F05-16S","P11J",11,"J",2,"F05","Pine011","Pine","Plateau",5.482174167,-41.97001702,-71.45614397,10,99,250,31.41592654
"plate2-F06-16S","P3K",3,"K",2,"F06","Pine003","Pine","Plateau",2.412493269,-41.96853703,-71.46316004,11,137,279,34.55751919
"plate2-F07-16S","C11D",11,"D",2,"F07","Con011","Control","Plateau",0.913786253,-41.96943599,-71.45543603,NA,NA,NA,NA
"plate2-F08-16S","S3C",3,"C",2,"F08","Sap003","Sapling","Plateau",3.00061237,-41.96887901,-71.46297698,4.7,58,120,14.76548547
"plate2-F09-16S","S5P",5,"P",2,"F09","Sap005","Sapling","Plateau",3.585229712,-41.96759004,-71.46496299,2.7,46,93,8.482300165
"plate2-F10-16S","P1F",1,"F",2,"F10","Pine001","Pine","Plateau",3.038704669,-41.97056302,-71.46467004,29.6,182,395,93
"plate2-F11-16S","P9G",9,"G",2,"F11","Pine009","Pine","Plateau",4.898688915,-41.96577,-71.45395998,17,137,410,53.40707511
"plate2-F12-16S","P9J",9,"J",2,"F12","Pine009","Pine","Plateau",4.898688915,-41.96577,-71.45395998,17,137,410,53.40707511
"plate2-G01-16S","C3 Soil",3,"Soil",2,"G01","Con003","Control","Plateau",4.012378615,-41.96898504,-71.46278,NA,NA,NA,NA
"plate2-G02-16S","C13Y",13,"Y",2,"G02","Con013","Control","Plateau",6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA
"plate2-G03-16S","P5B.1",5,"B",2,"G03","Pine005","Pine","Plateau",5.38028169,-41.96658002,-71.46364099,16,95,233,50.26548246
"plate2-G04-16S","P7C",7,"C",2,"G04","Pine007","Pine","Plateau",5.192843866,-41.96773597,-71.45947603,13,140,320,40.8407045
"plate2-G05-16S","C3G",3,"G",2,"G05","Con003","Control","Plateau",4.012378615,-41.96898504,-71.46278,NA,NA,NA,NA
"plate2-G06-16S","S2E",2,"E",2,"G06","Sap002","Sapling","Plateau",5.444811482,-41.96944596,-71.46430501,5.2,44,123,16.3362818
"plate2-G07-16S","P8C",8,"C",2,"G07","Pine008","Pine","Plateau",5.765694773,-41.96754101,-71.45763896,13,154,446,40.8407045
"plate2-G08-16S","C5B",5,"B",2,"G08","Con005","Control","Plateau",2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA
"plate2-G09-16S","P7O",7,"O",2,"G09","Pine007","Pine","Plateau",5.192843866,-41.96773597,-71.45947603,13,140,320,40.8407045
"plate2-G10-16S","S9J",9,"J",2,"G10","Sap009","Sapling","Plateau",6.452269489,-41.96685998,-71.45571699,5.3,52,130,16.65044106
"plate2-G11-16S","C1I",1,"I",2,"G11","Con001","Control","Plateau",7.066795741,-41.97108203,-71.464346,NA,NA,NA,NA
"plate2-G12-16S","C7T",7,"T",2,"G12","Con007","Control","Plateau",3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA
"plate2-H01-16S","S13J",13,"J",2,"H01","Sap013","Sapling","Plateau",9.637462236,-41.97090198,-71.45931099,3.2,48,87,10.05309649
"plate2-H02-16S","C2D",2,"D",2,"H02","Con002","Control","Plateau",3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA
"plate2-H03-16S","C14AG",14,"AG",2,"H03","Con014","Control","Plateau",4.68579235,-41.97177202,-71.46035504,NA,NA,NA,NA
"plate2-H04-16S","C6J",6,"J",2,"H04","Con006","Control","Plateau",3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA
"plate2-PCR-neg-16S","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA
"plate3-A01-16S","S3B",3,"B",3,"A01","Sap003","Sapling","Plateau",3.00061237,-41.96887901,-71.46297698,4.7,58,120,14.76548547
"plate3-A02-16S","BLANK 1",NA,"",3,"A02","","","",NA,NA,NA,NA,NA,NA,NA
"plate3-A03-16S","C1A",1,"A",3,"A03","Con001","Control","Plateau",7.066795741,-41.97108203,-71.464346,NA,NA,NA,NA
"plate3-A04-16S","S6B",6,"B",3,"A04","Sap006","Sapling","Plateau",6.803097345,-41.96683601,-71.46212697,4,58,60,12.56637061
"plate3-A05-16S","P11A",11,"A",3,"A05","Pine011","Pine","Plateau",5.482174167,-41.97001702,-71.45614397,10,99,250,31.41592654
"plate3-A06-16S","S9B",9,"B",3,"A06","Sap009","Sapling","Plateau",6.452269489,-41.96685998,-71.45571699,5.3,52,130,16.65044106
"plate3-A07-16S","C5C",5,"C",3,"A07","Con005","Control","Plateau",2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA
"plate3-A08-16S","P4A",4,"A",3,"A08","Pine004","Pine","Plateau",2.5352409,-41.96744503,-71.46401399,24,162,300,75.39822369
"plate3-A09-16S","S12C",12,"C",3,"A09","Sap012","Sapling","Plateau",5.976095618,-41.97022196,-71.45667999,3.2,42,104,10.05309649
"plate3-A10-16S","S2B",2,"B",3,"A10","Sap002","Sapling","Plateau",5.444811482,-41.96944596,-71.46430501,5.2,44,123,16.3362818
"plate3-A11-16S","P10B",10,"B",3,"A11","Pine010","Pine","Plateau",6.132414189,-41.96798902,-71.45368103,18,102,322,56.54866776
"plate3-A12-16S","P5B",5,"B",3,"A12","Pine005","Pine","Plateau",5.38028169,-41.96658002,-71.46364099,16,95,233,50.26548246
