,Sample,Plot_Number,Plant,Plate,Well,Plot,C,pH,Pdisp,NH4,NO3,Morphospecies,Treatment,Zone,Percent_Moisture,Lat,Lon,Basel_Diameter_estimated,Half_Tree_Cover,Tree_Height,Trunk_Circumference,PlantSpecies,MYC,PlantFUNCT.group,PlantSpecies.1,MYC.1,PlantFUNCT.group.1,PlantFUNCT.group.2,uniqueID,LeafDryMass,LeafH20Weight,LWC,LDMC,MLA,SLA
19,C4B,4,B,1,H06,Con004,1.53,5.9,6.6,47.6,14,Grass,Control,Plateau,NA,-41.96762499,-71.46443401,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con004_Grass,NA,NA,NA,NA,NA,NA
20,C4A,4,A,3,F09,Con004,1.53,5.9,6.6,47.6,14,GreenShrub,Control,Plateau,NA,-41.96762499,-71.46443401,NA,NA,NA,NA,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Con004_GreenShrub,NA,NA,NA,NA,NA,NA
21,C4J,4,J,1,E02,Con004,1.53,5.9,6.6,47.6,14,RedAloe,Control,Plateau,NA,-41.96762499,-71.46443401,NA,NA,NA,NA,Poa sp,AM,grass,Poa sp,AM,grass,grass,Con004_RedAloe,0.38,0.31,0.062,0.076,462.3116654,1.216609646
22,C4C,4,C,1,G09,Con004,1.53,5.9,6.6,47.6,14,Rosette,Control,Plateau,NA,-41.96762499,-71.46443401,NA,NA,NA,NA,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Con004_Rosette,NA,NA,NA,NA,NA,NA
23,C4G,4,G,1,F11,Con004,1.53,5.9,6.6,47.6,14,SpikeyGreen,Control,Plateau,NA,-41.96762499,-71.46443401,NA,NA,NA,NA,Perezia piliffera /fonkii?,AM,flowering plant ,Perezia piliffera /fonkii?,AM,flowering plant ,flowering plant ,Con004_SpikeyGreen,NA,NA,NA,NA,NA,NA
24,C4H,4,H,4,E07,Con004,1.53,5.9,6.6,47.6,14,SpikeyCushion,Control,Plateau,NA,-41.96762499,-71.46443401,NA,NA,NA,NA,Mulinum echinus,AM,dense spiny shrub,Mulinum echinus,AM,dense spiny shrub,shrub,Con004_SpikeyCushion,NA,NA,NA,NA,NA,NA
25,C4D,4,D,1,E08,Con004,1.53,5.9,6.6,47.6,14,YellowFlower,Control,Plateau,NA,-41.96762499,-71.46443401,NA,NA,NA,NA,Senecio agyreus,AM,flowering plant,Senecio agyreus,AM,flowering plant,flowering plant,Con004_YellowFlower,NA,NA,NA,NA,NA,NA
26,C5N,5,N,4,A07,Con005,2.4,5.6,6.2,32.2,15.4,Arugula,Control,Plateau,2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA,Hypochaeris sp,AM_facAM,flowering plant ,Hypochaeris sp,AM_facAM,flowering plant ,flowering plant ,Con005_Arugula,NA,NA,NA,NA,NA,NA
27,C5E,5,E,1,E07,Con005,2.4,5.6,6.2,32.2,15.4,Clover,Control,Plateau,2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA,Oxalis adenophylla,AM,flowering plant ,Oxalis adenophylla,AM,flowering plant ,flowering plant ,Con005_Clover,NA,NA,NA,NA,NA,NA
28,C5P,5,P,4,G08,Con005,2.4,5.6,6.2,32.2,15.4,FuzzyLeaf,Control,Plateau,2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA,Erigeron sp,AM,flowering plant,Erigeron sp,AM,flowering plant,flowering plant,Con005_FuzzyLeaf,NA,NA,NA,NA,NA,NA
29,C5B,5,B,2,G08,Con005,2.4,5.6,6.2,32.2,15.4,Grass,Control,Plateau,2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con005_Grass,0.21,0.06,0.006,0.021,88.41679451,0.421032355
30,C5A,5,A,3,D04,Con005,2.4,5.6,6.2,32.2,15.4,GreenShrub,Control,Plateau,2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Con005_GreenShrub,0.05,0.07,0.004117647,0.002941176,18.51991876,0.370398375
31,C5J,5,J,3,E06,Con005,2.4,5.6,6.2,32.2,15.4,RedAloe,Control,Plateau,2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA,Poa sp,AM,grass,Poa sp,AM,grass,grass,Con005_RedAloe,0.19,0.16,0.032,0.038,275.8128012,1.451646322
32,C5J,5,J,3,E06,Con005,2.4,5.6,6.2,32.2,15.4,RedAloe,Control,Plateau,2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA,Poa sp,AM,grass,Poa sp,AM,grass,grass,Con005_RedAloe,0.19,0.16,0.04,0.0475,792.8321281,4.172800674
33,C5C,5,C,3,A07,Con005,2.4,5.6,6.2,32.2,15.4,Rosette,Control,Plateau,2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Con005_Rosette,NA,NA,NA,NA,NA,NA
